Test,Statistic,p-value,Decision
VIF (Exports),3.0980712302916076,,Pass
VIF (Imports),3.0980712302916067,,Pass
RESET (Linearity),1.0386945054941474,0.31828969581911637,Pass
Durbin-Watson,2.587279778708652,,Fail
Breusch-Godfrey (Serial Corr.),4.764667404443495,0.11705633279412318,Pass
White (Heteroskedasticity),1.6422811417240442,0.8960896057360983,Pass
Breusch-Pagan (Heterosked.),0.7630605885181252,0.6828157003490489,Pass
Jarque-Bera (Normality),4.257001736314696,0.11901558022771953,Pass
Shapiro-Wilk (Normality),0.91963374663217,0.033970904996643625,Fail
ARCH (Volatility Clustering),4.588547957752145,0.4681241412407178,Pass
