p,d,q,AIC,BIC,HQIC
1,0,0,-50.32681897629062,-46.43930837827763,-49.17085827858176
0,0,1,-48.06488599193674,-44.29059637787229,-46.97802714708
1,0,1,-47.44007750853355,-42.40769135644762,-45.99093238205789
0,0,0,-47.25645017173504,-44.66477643972638,-46.4858097065958
2,0,0,-45.58347535923585,-40.55108920714992,-44.13433023276019
2,0,1,-43.53919087213461,-37.2487081820272,-41.72775946404004
0,0,3,-43.499206184539815,-37.608937032800085,-41.93651612047434
0,0,2,-43.39289015736699,-38.51738685789419,-42.04063275027055
3,0,0,-42.75183957243849,-36.65746044809749,-41.06151781356793
1,0,3,-42.62557869114769,-35.557255709060016,-40.75035061426912
3,0,2,-42.59430412644809,-34.06217335237068,-40.227853664029304
3,0,1,-42.29090224104279,-34.977647291833584,-40.26251613039811
2,0,2,-41.66499500360488,-34.35174005439568,-39.63660889296021
2,0,3,-41.5034322512291,-33.25705543879348,-39.315666161537436
1,0,2,-41.19300336882277,-35.09862424448177,-39.50268160995221
3,0,3,-39.72366762794224,-30.299236985158675,-37.22336352543748
