p,d,q,AIC,BIC
0,1,0,2160.008724201198,2161.900544499309
1,1,1,2160.1631363302718,2165.8385972246037
2,1,2,2161.716458196327,2171.17555968688
2,1,1,2161.8364967181587,2169.403777910601
1,1,0,2161.843896176495,2165.627536772716
0,1,1,2161.940542713439,2165.72418330966
1,1,3,2162.246131075048,2171.7052325656014
3,1,2,2162.906922520754,2174.257844309418
3,1,1,2163.2867511220584,2172.7458526126115
2,1,3,2163.402313974611,2174.753235763275
3,1,3,2163.782788922074,2177.0255310088482
2,1,0,2163.8489376380303,2169.5243985323623
1,1,2,2163.9073684909586,2171.474649683401
0,1,2,2163.939542212169,2169.615003106501
3,1,0,2164.6650755298556,2172.232356722298
0,1,3,2164.8812226739788,2172.448503866421
